time,Th1,Tfh,Tr1
0.0,0.0,0.0,0.0
0.05,17.0,39.0,29.0
0.1,31.0,78.0,65.0
0.15,41.0,122.0,89.0
0.2,55.0,174.0,107.0
0.25,71.0,202.0,127.0
0.3,86.0,229.0,137.0
0.35,101.0,253.0,149.0
0.4,109.0,277.0,158.0
0.45,124.0,299.0,183.0
0.5,130.0,332.0,197.0
0.55,131.0,354.0,214.0
0.6,138.0,368.0,222.0
0.65,149.0,371.0,221.0
0.7,148.0,364.0,228.0
0.75,146.0,375.0,223.0
0.8,145.0,388.0,235.0
0.85,147.0,391.0,243.0
0.9,144.0,388.0,246.0
0.95,147.0,387.0,244.0
1.0,146.0,385.0,245.0
1.05,148.0,383.0,251.0
1.1,149.0,374.0,262.0
1.15,147.0,359.0,261.0
1.2,139.0,362.0,252.0
1.25,142.0,349.0,258.0
1.3,127.0,352.0,249.0
1.35,124.0,341.0,237.0
1.4,120.0,343.0,235.0
1.45,117.0,345.0,229.0
1.5,120.0,356.0,222.0
1.55,119.0,358.0,208.0
1.6,116.0,352.0,204.0
1.65,115.0,348.0,203.0
1.7,113.0,332.0,201.0
1.75,108.0,324.0,197.0
1.8,104.0,316.0,198.0
1.85,104.0,307.0,189.0
1.9,102.0,297.0,183.0
1.95,94.0,286.0,170.0
2.0,94.0,276.0,172.0
2.05,93.0,273.0,163.0
2.1,88.0,266.0,159.0
2.15,91.0,255.0,153.0
2.2,92.0,232.0,149.0
2.25,86.0,224.0,141.0
2.3,89.0,222.0,138.0
2.35,87.0,218.0,132.0
2.4,81.0,209.0,130.0
2.45,78.0,201.0,123.0
2.5,74.0,190.0,125.0
2.55,71.0,184.0,119.0
2.6,71.0,181.0,116.0
2.65,67.0,177.0,113.0
2.7,68.0,175.0,109.0
2.75,62.0,163.0,105.0
2.8,63.0,157.0,104.0
2.85,63.0,155.0,103.0
2.9,60.0,148.0,102.0
2.95,59.0,145.0,97.0
3.0,57.0,144.0,94.0
3.05,55.0,139.0,91.0
3.1,47.0,132.0,91.0
3.15,45.0,131.0,89.0
3.2,44.0,129.0,86.0
3.25,41.0,126.0,84.0
3.3,40.0,119.0,79.0
3.35,38.0,112.0,76.0
3.4,38.0,112.0,74.0
3.45,38.0,106.0,73.0
3.5,37.0,106.0,69.0
3.55,36.0,102.0,68.0
3.6,36.0,105.0,68.0
3.65,34.0,100.0,69.0
3.7,32.0,94.0,68.0
3.75,32.0,89.0,64.0
3.8,29.0,85.0,61.0
3.85,27.0,81.0,60.0
3.9,27.0,76.0,58.0
3.95,26.0,74.0,54.0
4.0,21.0,71.0,51.0
4.05,20.0,70.0,48.0
4.1,18.0,74.0,44.0
4.15,18.0,69.0,40.0
4.2,15.0,67.0,39.0
4.25,14.0,68.0,36.0
4.3,15.0,66.0,31.0
4.35,14.0,64.0,29.0
4.4,13.0,62.0,27.0
4.45,10.0,61.0,27.0
4.5,10.0,58.0,24.0
4.55,9.0,56.0,24.0
4.6,10.0,56.0,24.0
4.65,11.0,53.0,23.0
4.7,11.0,50.0,22.0
4.75,11.0,46.0,22.0
4.8,11.0,40.0,21.0
4.85,10.0,37.0,20.0
4.9,11.0,35.0,20.0
4.95,11.0,35.0,18.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,30.0,50.0,33.0
0.1,46.0,98.0,50.0
0.15,60.0,133.0,83.0
0.2,70.0,163.0,96.0
0.25,85.0,208.0,116.0
0.3,91.0,231.0,133.0
0.35,106.0,254.0,145.0
0.4,122.0,281.0,155.0
0.45,130.0,298.0,161.0
0.5,125.0,324.0,171.0
0.55,133.0,338.0,182.0
0.6,137.0,356.0,193.0
0.65,142.0,358.0,201.0
0.7,142.0,359.0,204.0
0.75,149.0,361.0,204.0
0.8,152.0,351.0,212.0
0.85,150.0,356.0,222.0
0.9,149.0,355.0,217.0
0.95,155.0,359.0,221.0
1.0,158.0,356.0,224.0
1.05,152.0,353.0,225.0
1.1,151.0,366.0,229.0
1.15,148.0,366.0,224.0
1.2,154.0,368.0,225.0
1.25,150.0,367.0,223.0
1.3,153.0,357.0,221.0
1.35,147.0,355.0,219.0
1.4,146.0,351.0,212.0
1.45,143.0,342.0,208.0
1.5,140.0,328.0,208.0
1.55,136.0,319.0,211.0
1.6,140.0,316.0,212.0
1.65,135.0,317.0,209.0
1.7,126.0,312.0,203.0
1.75,124.0,317.0,205.0
1.8,126.0,308.0,200.0
1.85,124.0,305.0,198.0
1.9,115.0,304.0,193.0
1.95,111.0,292.0,184.0
2.0,108.0,281.0,185.0
2.05,102.0,269.0,186.0
2.1,100.0,261.0,184.0
2.15,97.0,258.0,180.0
2.2,93.0,252.0,178.0
2.25,91.0,247.0,174.0
2.3,89.0,243.0,172.0
2.35,82.0,239.0,167.0
2.4,78.0,229.0,163.0
2.45,77.0,220.0,159.0
2.5,72.0,205.0,156.0
2.55,66.0,200.0,155.0
2.6,62.0,190.0,148.0
2.65,60.0,184.0,142.0
2.7,58.0,177.0,137.0
2.75,55.0,170.0,137.0
2.8,54.0,163.0,129.0
2.85,53.0,159.0,122.0
2.9,52.0,151.0,118.0
2.95,49.0,145.0,117.0
3.0,48.0,137.0,115.0
3.05,48.0,130.0,112.0
3.1,49.0,127.0,105.0
3.15,44.0,122.0,99.0
3.2,42.0,121.0,96.0
3.25,42.0,123.0,90.0
3.3,39.0,123.0,90.0
3.35,40.0,119.0,86.0
3.4,39.0,113.0,85.0
3.45,37.0,111.0,79.0
3.5,35.0,108.0,77.0
3.55,34.0,108.0,76.0
3.6,34.0,107.0,76.0
3.65,34.0,102.0,76.0
3.7,29.0,97.0,73.0
3.75,29.0,91.0,72.0
3.8,31.0,88.0,72.0
3.85,29.0,82.0,68.0
3.9,30.0,78.0,67.0
3.95,29.0,75.0,63.0
4.0,28.0,73.0,58.0
4.05,28.0,68.0,59.0
4.1,26.0,64.0,55.0
4.15,25.0,64.0,49.0
4.2,24.0,60.0,46.0
4.25,22.0,56.0,43.0
4.3,21.0,56.0,43.0
4.35,22.0,54.0,41.0
4.4,22.0,48.0,42.0
4.45,22.0,47.0,40.0
4.5,18.0,45.0,40.0
4.55,18.0,44.0,38.0
4.6,17.0,43.0,38.0
4.65,16.0,42.0,38.0
4.7,15.0,38.0,37.0
4.75,14.0,36.0,33.0
4.8,11.0,32.0,32.0
4.85,11.0,31.0,32.0
4.9,11.0,30.0,30.0
4.95,11.0,29.0,29.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,15.0,49.0,27.0
0.1,39.0,101.0,59.0
0.15,54.0,143.0,85.0
0.2,65.0,174.0,101.0
0.25,74.0,209.0,117.0
0.3,80.0,239.0,139.0
0.35,89.0,267.0,152.0
0.4,91.0,293.0,161.0
0.45,96.0,319.0,174.0
0.5,98.0,336.0,186.0
0.55,106.0,358.0,202.0
0.6,110.0,363.0,208.0
0.65,119.0,372.0,206.0
0.7,131.0,390.0,209.0
0.75,144.0,400.0,219.0
0.8,144.0,406.0,218.0
0.85,143.0,401.0,224.0
0.9,138.0,399.0,223.0
0.95,141.0,398.0,225.0
1.0,136.0,391.0,225.0
1.05,136.0,384.0,220.0
1.1,135.0,381.0,222.0
1.15,140.0,377.0,225.0
1.2,140.0,377.0,222.0
1.25,140.0,384.0,223.0
1.3,135.0,371.0,217.0
1.35,137.0,366.0,211.0
1.4,135.0,365.0,216.0
1.45,133.0,361.0,208.0
1.5,134.0,355.0,208.0
1.55,135.0,344.0,200.0
1.6,132.0,327.0,191.0
1.65,134.0,323.0,188.0
1.7,129.0,316.0,181.0
1.75,128.0,301.0,178.0
1.8,126.0,283.0,181.0
1.85,121.0,277.0,179.0
1.9,117.0,269.0,168.0
1.95,115.0,261.0,166.0
2.0,112.0,258.0,166.0
2.05,110.0,256.0,158.0
2.1,105.0,251.0,157.0
2.15,104.0,243.0,151.0
2.2,99.0,235.0,149.0
2.25,99.0,228.0,148.0
2.3,92.0,218.0,146.0
2.35,89.0,208.0,143.0
2.4,87.0,196.0,135.0
2.45,82.0,195.0,135.0
2.5,76.0,190.0,131.0
2.55,72.0,185.0,129.0
2.6,68.0,183.0,127.0
2.65,69.0,173.0,121.0
2.7,69.0,160.0,116.0
2.75,67.0,152.0,112.0
2.8,63.0,144.0,111.0
2.85,60.0,142.0,104.0
2.9,55.0,134.0,101.0
2.95,50.0,130.0,99.0
3.0,50.0,123.0,95.0
3.05,49.0,120.0,95.0
3.1,49.0,119.0,93.0
3.15,47.0,113.0,90.0
3.2,48.0,109.0,88.0
3.25,47.0,109.0,87.0
3.3,46.0,109.0,83.0
3.35,46.0,102.0,81.0
3.4,45.0,97.0,79.0
3.45,45.0,95.0,73.0
3.5,43.0,93.0,72.0
3.55,45.0,89.0,66.0
3.6,43.0,87.0,59.0
3.65,41.0,85.0,54.0
3.7,40.0,82.0,53.0
3.75,38.0,78.0,48.0
3.8,37.0,76.0,47.0
3.85,36.0,73.0,46.0
3.9,35.0,73.0,42.0
3.95,35.0,71.0,39.0
4.0,33.0,71.0,36.0
4.05,31.0,69.0,37.0
4.1,28.0,64.0,36.0
4.15,27.0,63.0,37.0
4.2,28.0,60.0,39.0
4.25,30.0,56.0,37.0
4.3,25.0,57.0,37.0
4.35,25.0,58.0,35.0
4.4,24.0,49.0,35.0
4.45,24.0,43.0,35.0
4.5,24.0,39.0,34.0
4.55,23.0,37.0,34.0
4.6,19.0,35.0,29.0
4.65,18.0,36.0,27.0
4.7,17.0,31.0,26.0
4.75,18.0,28.0,24.0
4.8,18.0,27.0,24.0
4.85,17.0,27.0,23.0
4.9,16.0,24.0,21.0
4.95,15.0,23.0,21.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,18.0,55.0,28.0
0.1,40.0,99.0,60.0
0.15,50.0,132.0,93.0
0.2,68.0,173.0,113.0
0.25,82.0,203.0,137.0
0.3,88.0,235.0,159.0
0.35,101.0,262.0,179.0
0.4,108.0,276.0,190.0
0.45,113.0,286.0,203.0
0.5,120.0,301.0,217.0
0.55,128.0,320.0,226.0
0.6,135.0,334.0,237.0
0.65,136.0,339.0,252.0
0.7,138.0,339.0,259.0
0.75,143.0,342.0,261.0
0.8,139.0,348.0,261.0
0.85,143.0,351.0,263.0
0.9,141.0,348.0,269.0
0.95,146.0,348.0,263.0
1.0,146.0,349.0,252.0
1.05,147.0,350.0,250.0
1.1,147.0,355.0,243.0
1.15,140.0,350.0,240.0
1.2,137.0,350.0,243.0
1.25,143.0,345.0,244.0
1.3,138.0,352.0,241.0
1.35,139.0,342.0,231.0
1.4,131.0,338.0,231.0
1.45,129.0,328.0,226.0
1.5,125.0,328.0,218.0
1.55,120.0,329.0,213.0
1.6,119.0,321.0,204.0
1.65,118.0,312.0,198.0
1.7,119.0,307.0,194.0
1.75,115.0,308.0,193.0
1.8,108.0,299.0,185.0
1.85,104.0,292.0,185.0
1.9,101.0,289.0,173.0
1.95,99.0,288.0,170.0
2.0,96.0,281.0,169.0
2.05,91.0,277.0,162.0
2.1,85.0,272.0,161.0
2.15,83.0,269.0,149.0
2.2,80.0,269.0,147.0
2.25,78.0,260.0,144.0
2.3,73.0,256.0,142.0
2.35,70.0,247.0,140.0
2.4,66.0,244.0,133.0
2.45,68.0,230.0,129.0
2.5,67.0,223.0,128.0
2.55,63.0,219.0,122.0
2.6,60.0,215.0,115.0
2.65,56.0,211.0,111.0
2.7,56.0,206.0,107.0
2.75,54.0,191.0,104.0
2.8,56.0,186.0,101.0
2.85,51.0,174.0,96.0
2.9,49.0,167.0,94.0
2.95,47.0,160.0,90.0
3.0,44.0,153.0,86.0
3.05,43.0,150.0,82.0
3.1,40.0,147.0,80.0
3.15,42.0,148.0,75.0
3.2,41.0,136.0,72.0
3.25,40.0,131.0,71.0
3.3,37.0,124.0,68.0
3.35,37.0,121.0,65.0
3.4,37.0,117.0,64.0
3.45,36.0,114.0,62.0
3.5,35.0,115.0,63.0
3.55,32.0,111.0,62.0
3.6,34.0,105.0,59.0
3.65,32.0,106.0,59.0
3.7,28.0,102.0,59.0
3.75,27.0,99.0,57.0
3.8,26.0,93.0,49.0
3.85,26.0,91.0,46.0
3.9,25.0,86.0,45.0
3.95,24.0,81.0,45.0
4.0,24.0,77.0,45.0
4.05,26.0,75.0,42.0
4.1,24.0,71.0,40.0
4.15,24.0,67.0,39.0
4.2,20.0,64.0,36.0
4.25,20.0,64.0,33.0
4.3,20.0,59.0,32.0
4.35,18.0,55.0,32.0
4.4,17.0,53.0,31.0
4.45,17.0,51.0,30.0
4.5,16.0,53.0,28.0
4.55,15.0,49.0,25.0
4.6,14.0,47.0,25.0
4.65,15.0,46.0,25.0
4.7,15.0,44.0,22.0
4.75,14.0,41.0,22.0
4.8,13.0,39.0,22.0
4.85,12.0,36.0,21.0
4.9,11.0,35.0,21.0
4.95,11.0,35.0,18.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,18.0,53.0,25.0
0.1,30.0,93.0,51.0
0.15,44.0,132.0,71.0
0.2,65.0,164.0,91.0
0.25,73.0,210.0,119.0
0.3,83.0,232.0,136.0
0.35,97.0,253.0,153.0
0.4,103.0,280.0,158.0
0.45,105.0,302.0,177.0
0.5,112.0,317.0,181.0
0.55,113.0,325.0,190.0
0.6,125.0,330.0,195.0
0.65,129.0,340.0,197.0
0.7,135.0,351.0,202.0
0.75,131.0,365.0,201.0
0.8,136.0,371.0,204.0
0.85,141.0,371.0,207.0
0.9,143.0,367.0,210.0
0.95,148.0,357.0,211.0
1.0,156.0,356.0,211.0
1.05,157.0,346.0,208.0
1.1,159.0,345.0,207.0
1.15,152.0,345.0,207.0
1.2,155.0,343.0,211.0
1.25,155.0,341.0,207.0
1.3,143.0,335.0,209.0
1.35,146.0,338.0,207.0
1.4,147.0,341.0,213.0
1.45,142.0,332.0,205.0
1.5,142.0,339.0,205.0
1.55,142.0,341.0,198.0
1.6,136.0,327.0,187.0
1.65,131.0,320.0,186.0
1.7,133.0,302.0,181.0
1.75,130.0,302.0,175.0
1.8,121.0,294.0,172.0
1.85,120.0,291.0,172.0
1.9,119.0,290.0,172.0
1.95,115.0,283.0,165.0
2.0,116.0,271.0,164.0
2.05,115.0,268.0,163.0
2.1,115.0,260.0,156.0
2.15,112.0,253.0,157.0
2.2,105.0,248.0,155.0
2.25,101.0,244.0,152.0
2.3,97.0,244.0,148.0
2.35,96.0,237.0,148.0
2.4,96.0,226.0,144.0
2.45,92.0,206.0,139.0
2.5,84.0,206.0,130.0
2.55,84.0,199.0,128.0
2.6,81.0,191.0,123.0
2.65,78.0,185.0,123.0
2.7,75.0,176.0,120.0
2.75,73.0,169.0,115.0
2.8,70.0,161.0,112.0
2.85,67.0,158.0,111.0
2.9,67.0,153.0,104.0
2.95,66.0,147.0,101.0
3.0,62.0,146.0,101.0
3.05,60.0,140.0,96.0
3.1,57.0,136.0,93.0
3.15,56.0,129.0,92.0
3.2,55.0,122.0,87.0
3.25,53.0,113.0,83.0
3.3,52.0,109.0,81.0
3.35,48.0,107.0,82.0
3.4,45.0,102.0,79.0
3.45,43.0,101.0,81.0
3.5,43.0,99.0,76.0
3.55,44.0,96.0,71.0
3.6,43.0,93.0,71.0
3.65,43.0,91.0,68.0
3.7,42.0,87.0,67.0
3.75,38.0,84.0,65.0
3.8,38.0,80.0,59.0
3.85,38.0,76.0,56.0
3.9,35.0,76.0,55.0
3.95,32.0,72.0,50.0
4.0,31.0,70.0,47.0
4.05,27.0,71.0,46.0
4.1,28.0,68.0,45.0
4.15,28.0,63.0,46.0
4.2,28.0,63.0,45.0
4.25,27.0,57.0,42.0
4.3,26.0,54.0,40.0
4.35,25.0,52.0,40.0
4.4,25.0,49.0,38.0
4.45,25.0,48.0,37.0
4.5,25.0,45.0,35.0
4.55,24.0,46.0,32.0
4.6,22.0,45.0,30.0
4.65,20.0,45.0,30.0
4.7,19.0,43.0,29.0
4.75,17.0,42.0,28.0
4.8,16.0,42.0,27.0
4.85,14.0,40.0,27.0
4.9,13.0,37.0,25.0
4.95,12.0,37.0,25.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,24.0,45.0,25.0
0.1,41.0,101.0,49.0
0.15,52.0,138.0,74.0
0.2,71.0,166.0,104.0
0.25,91.0,191.0,116.0
0.3,108.0,226.0,124.0
0.35,116.0,253.0,153.0
0.4,121.0,260.0,166.0
0.45,130.0,279.0,187.0
0.5,136.0,289.0,195.0
0.55,141.0,297.0,211.0
0.6,143.0,313.0,212.0
0.65,149.0,328.0,217.0
0.7,147.0,341.0,224.0
0.75,155.0,358.0,225.0
0.8,155.0,362.0,224.0
0.85,157.0,378.0,221.0
0.9,153.0,375.0,227.0
0.95,160.0,376.0,226.0
1.0,159.0,377.0,224.0
1.05,159.0,369.0,231.0
1.1,157.0,359.0,237.0
1.15,156.0,357.0,247.0
1.2,151.0,361.0,238.0
1.25,153.0,365.0,235.0
1.3,152.0,369.0,236.0
1.35,153.0,365.0,227.0
1.4,154.0,365.0,224.0
1.45,150.0,359.0,221.0
1.5,148.0,348.0,217.0
1.55,149.0,337.0,202.0
1.6,151.0,339.0,198.0
1.65,145.0,340.0,191.0
1.7,143.0,330.0,191.0
1.75,139.0,320.0,190.0
1.8,140.0,312.0,185.0
1.85,138.0,304.0,179.0
1.9,130.0,287.0,175.0
1.95,128.0,285.0,174.0
2.0,124.0,279.0,169.0
2.05,120.0,266.0,165.0
2.1,114.0,263.0,161.0
2.15,107.0,262.0,158.0
2.2,102.0,260.0,151.0
2.25,99.0,252.0,143.0
2.3,96.0,244.0,144.0
2.35,89.0,238.0,138.0
2.4,89.0,239.0,134.0
2.45,90.0,237.0,131.0
2.5,88.0,232.0,131.0
2.55,86.0,229.0,127.0
2.6,83.0,222.0,125.0
2.65,78.0,214.0,115.0
2.7,74.0,206.0,108.0
2.75,73.0,196.0,106.0
2.8,72.0,184.0,103.0
2.85,70.0,174.0,97.0
2.9,67.0,170.0,93.0
2.95,64.0,167.0,88.0
3.0,63.0,163.0,84.0
3.05,60.0,155.0,84.0
3.1,59.0,148.0,81.0
3.15,58.0,139.0,78.0
3.2,55.0,132.0,77.0
3.25,52.0,132.0,73.0
3.3,48.0,128.0,72.0
3.35,45.0,123.0,67.0
3.4,45.0,119.0,63.0
3.45,43.0,116.0,61.0
3.5,42.0,111.0,57.0
3.55,41.0,112.0,54.0
3.6,40.0,105.0,54.0
3.65,38.0,100.0,51.0
3.7,38.0,98.0,48.0
3.75,39.0,92.0,46.0
3.8,36.0,88.0,44.0
3.85,31.0,86.0,44.0
3.9,31.0,86.0,42.0
3.95,30.0,84.0,37.0
4.0,29.0,79.0,33.0
4.05,27.0,78.0,31.0
4.1,26.0,72.0,29.0
4.15,25.0,68.0,28.0
4.2,24.0,69.0,29.0
4.25,23.0,68.0,29.0
4.3,23.0,65.0,29.0
4.35,22.0,64.0,27.0
4.4,23.0,62.0,27.0
4.45,22.0,61.0,25.0
4.5,22.0,59.0,27.0
4.55,21.0,59.0,26.0
4.6,19.0,53.0,24.0
4.65,18.0,52.0,23.0
4.7,16.0,47.0,24.0
4.75,15.0,44.0,22.0
4.8,15.0,44.0,22.0
4.85,13.0,45.0,22.0
4.9,11.0,44.0,21.0
4.95,11.0,41.0,18.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,23.0,52.0,25.0
0.1,43.0,104.0,59.0
0.15,69.0,141.0,75.0
0.2,79.0,185.0,102.0
0.25,90.0,215.0,112.0
0.3,102.0,244.0,129.0
0.35,111.0,274.0,142.0
0.4,126.0,297.0,153.0
0.45,127.0,320.0,167.0
0.5,127.0,336.0,179.0
0.55,128.0,355.0,188.0
0.6,133.0,357.0,193.0
0.65,145.0,369.0,200.0
0.7,153.0,382.0,200.0
0.75,150.0,377.0,209.0
0.8,153.0,382.0,215.0
0.85,152.0,379.0,215.0
0.9,157.0,378.0,215.0
0.95,152.0,391.0,211.0
1.0,153.0,379.0,212.0
1.05,155.0,382.0,203.0
1.1,154.0,381.0,204.0
1.15,151.0,374.0,203.0
1.2,154.0,367.0,198.0
1.25,158.0,363.0,196.0
1.3,152.0,363.0,199.0
1.35,148.0,355.0,198.0
1.4,148.0,352.0,188.0
1.45,147.0,350.0,186.0
1.5,144.0,339.0,176.0
1.55,139.0,335.0,168.0
1.6,133.0,333.0,175.0
